Record ID,MaxDiff1_Fit (RLH),Model fit relative quality,Energy Drinks with Flavors Similar to Ice Cream,Pre-Made Cakes,Cereal-Flavored Beverages,Cereal-Flavored Ice Cream,Coffee Beverages with Flavors Similar to Ice Cream,Milkshake Mixes,Ice Cream Topping Syrups,Soda Syrups,Protein Shakes with Flavors Similar to Ice Cream,Protein Ice Cream,Sodas with Flavors Similar to Ice Cream,Hot Chocolate Mixes,Chips,Trail Mixes Containing Cheese,Smoothies
69a270f27167a4c7a467e81d,0.359087192,Moderate,6.594964764,3.686952825,0.369127825,8.314862779,19.52961966,11.7890979,6.300843725,0.295924973,13.37989597,13.66248842,1.423509329,6.887138961,1.088072453,4.78293704,1.894563374
69a271067167a4c7a467e845,0.416245464,Moderate,1.534463526,14.70410597,0.108416065,9.02884818,6.641403628,11.37824991,2.633682585,0.979132593,7.087068192,6.419686314,5.505616323,5.140350984,11.68292235,0.275462304,16.88059108
69a271227167a4c7a467e85c,0.497374422,Moderate,0.566347027,17.58555574,2.186214616,1.865920482,0.037794072,9.599671695,13.75010244,4.470038925,12.19514837,2.443127338,2.304784188,2.373919208,12.14400236,0.39063607,18.08673747
69a271247167a4c7a467e873,0.561586164,Good,3.128055393,2.928993664,0.42215145,3.131491355,0.104109078,12.32321072,5.132756658,2.706053721,18.01593619,19.0978564,1.306382163,9.795037844,6.028106639,0.229308395,15.65055033
69a2714d7167a4c7a467e8ca,0.45958784,Moderate,0.365893197,13.12173216,0.111834181,10.90142325,9.762994007,2.304878504,6.071411772,1.145402318,4.542490764,19.54805511,0.441851548,8.739230526,7.248187951,4.324753309,11.3698614
69a271507167a4c7a467e8e1,0.528088177,Good,3.1246438,3.160460069,2.427743519,2.053386294,0.103353925,19.05973735,6.822519172,4.387344996,8.047264196,0.276535115,6.556758763,15.22958807,8.428631851,0.121106369,20.20092651
69a2715b7167a4c7a467e8f8,0.574554,Good,1.457107376,4.319326208,1.198125859,19.7629004,0.365811984,15.93802844,5.366535248,4.367499405,0.605283908,0.085568944,16.52962973,14.91049584,3.410370904,6.898084169,4.785231591
69a271677167a4c7a467e90f,0.600756142,Good,0.090929335,17.06205298,2.494000033,3.41582704,0.026417605,14.98280782,7.13451527,1.861880181,2.833452812,10.18505812,3.376929703,1.033922976,19.71775074,6.646935469,9.137519919
69a271687167a4c7a467e926,0.440587845,Moderate,0.2932474,2.001536251,17.07114696,15.0825835,1.840788284,6.902472273,1.669350988,0.152870641,8.959441702,15.69984711,12.24897873,1.427111591,0.857905546,11.99286287,3.799856154
69a2716a7167a4c7a467e93d,0.626406898,Good,0.364849968,18.73751468,0.040975091,3.87373777,2.690845527,7.369690545,13.43807978,2.966657605,1.13811031,3.044610636,0.718090124,7.559782313,19.58607117,0.111545562,18.35943892
69a2716c7167a4c7a467e954,0.438920337,Moderate,7.373393863,1.617643687,0.649525219,17.79163458,9.545031785,13.39845625,3.509996731,0.635880703,10.59597434,4.255539719,6.632176019,16.78715959,1.064751582,0.188041226,5.954794703
69a271787167a4c7a467e96b,0.638491501,Good,0.155423904,18.00705502,0.251146886,0.874579141,5.380498166,5.285972903,9.413209816,2.039319162,7.093131977,8.800419557,0.042688018,5.739248753,17.747771,0.071758945,19.09777674
69a271867167a4c7a467e982,0.46157052,Moderate,0.59404808,16.33141309,0.912906626,8.479711557,0.068619983,9.644772895,6.063629031,1.773939056,2.341951724,10.45492235,1.597270681,1.25522665,19.94859973,11.36178857,9.171199985
69a271877167a4c7a467e999,0.440257358,Moderate,0.602617681,16.28629931,0.176508849,2.064998771,2.741859635,6.986955167,8.065438105,1.427356474,7.467263456,5.781614624,0.548132022,14.47120013,18.39891448,0.176098334,14.80474297
69a2718f7167a4c7a467e9b0,0.466443371,Moderate,3.731190641,3.38113007,1.144818437,3.022638207,0.120557018,12.17216439,12.06723619,2.471784047,20.30608371,21.18934439,4.231914523,9.809616549,2.267067621,1.003585316,3.080868894
69a271957167a4c7a467e9c7,0.606856189,Good,1.985501617,7.93024754,0.52459636,1.67452545,0.122714443,14.7620306,8.68678822,6.450446551,1.246397926,0.732364351,1.904881781,17.57268277,17.46788963,0.038610826,18.90032194
69a2719d6465cd794f94cd7c,0.351655575,Moderate,7.436745015,3.441058233,0.458813851,3.713628369,0.435778773,18.23464863,5.675554845,1.426038761,16.33241745,16.08029565,4.36330488,9.946488289,7.82981318,0.911153585,3.714260486
69a271b56465cd794f94cd93,0.547795724,Good,6.823512797,0.33444723,1.489996228,11.31433088,0.263463818,18.29122188,3.495554732,1.814085216,19.4660904,12.64237071,13.13217827,4.614161588,1.967285266,3.891905656,0.45939533
69a271b66465cd794f94cdaa,0.428366638,Moderate,1.582943758,6.98773328,2.753888114,2.441701205,0.657687706,20.2368685,10.01654347,2.551085322,1.044558774,0.437831506,1.552005846,14.77926894,13.79730275,0.592629667,20.56795116
69a271c26465cd794f94cdc1,0.579445444,Good,0.224326684,7.364479495,8.201881883,5.830607915,0.034218593,8.901672774,1.127653459,0.989048269,19.41128626,15.78026627,3.052324662,7.443802009,2.27467184,1.3795091,17.98425078
69a271cc6465cd794f94cdf8,0.380712526,Moderate,16.00658061,2.005669408,0.143851907,12.41719671,16.77081375,2.950399258,10.10053091,2.503228443,9.738934432,3.795479681,14.93917072,3.11914617,3.761573629,0.366678116,1.380746254
69a271cd6465cd794f94ce0f,0.563661956,Good,0.823637742,12.61776639,2.51114931,10.91940299,5.650563837,6.03405223,4.434922325,0.164889991,22.19491973,22.40395204,1.838121647,0.95147993,2.300756975,0.985183007,6.169201858
69a271d16465cd794f94ce26,0.284896013,Moderate,3.425655519,3.131211933,1.735800623,9.407784622,0.427868965,15.07691138,14.82302635,6.588279043,5.538167512,1.417043707,5.4306948,9.021885269,6.166784809,0.530198644,17.27868682
69a271d96465cd794f94ce3d,0.430926348,Moderate,1.358314777,11.83055327,0.099687029,8.255904952,3.11897232,13.82954116,13.0667491,2.791832148,9.046865926,2.487797166,0.782282362,7.385668812,12.53129778,0.245798251,13.16873495
69a271e86465cd794f94ce54,0.504645728,Moderate,0.108592115,8.707862872,13.30822359,3.979392335,0.852325873,9.643689704,6.702224974,0.596239537,16.4895018,14.06097727,0.121206345,4.543333957,3.396095847,0.75372604,16.73660774
69a272347167a4c7a467e9fe,0.548685193,Good,0.310006993,11.98900949,3.376476416,3.637963822,0.024559893,17.00140011,3.704601651,1.547062259,9.947276468,5.563016633,2.625485595,3.52724502,19.3243585,0.313156637,17.10838051
69a272427167a4c7a467ea35,0.538195218,Good,0.696306355,2.41403093,7.535947811,5.725888902,0.016269703,16.2128549,2.036599513,1.180481977,13.24171002,11.17012743,6.608873562,0.273389791,5.64715985,15.89571899,11.34464026
69a2726c7167a4c7a467ea6c,0.533976082,Good,0.331333553,6.959000237,3.865221233,17.06766303,0.041800873,9.376111754,4.721828702,3.301998693,1.848424961,1.44259894,14.23952604,5.536184707,14.8397616,0.94705313,15.48149255
69a272c66465cd794f94ceab,0.532785133,Good,0.097111269,6.054046235,17.75174869,15.35921454,0.030003431,3.050178636,4.046384169,0.71686881,15.89092777,14.49700363,1.448499426,2.231101722,3.408243837,8.32477673,7.093891108
69a272d06465cd794f94cec2,0.456537799,Moderate,0.305361657,14.11939261,2.309568131,10.74838265,2.850042021,12.50518989,12.33439641,4.2991291,7.335405889,4.849879438,0.888331505,20.38435351,0.696888247,1.173486057,5.200192873
69a273a27167a4c7a467eae3,0.396276325,Moderate,0.93279411,5.273743371,9.535139219,13.09613631,0.950638087,20.00053636,6.706020872,3.385717573,6.138683002,0.675318921,3.552103848,17.79603012,0.348932664,3.585941207,8.022264328
69a273e57167a4c7a467eb72,0.44015627,Moderate,4.252376688,3.382776263,1.643288225,9.149393855,0.568562582,18.98659902,13.12381235,7.745281326,0.539939278,0.112529482,18.38309649,11.56735143,1.544904267,6.693648208,2.306440544
